frame,time,origin_x,origin_y,origin_z,x_axis_x,x_axis_y,x_axis_z,y_axis_x,y_axis_y,y_axis_z,z_axis_x,z_axis_y,z_axis_z,R00,R01,R02,R10,R11,R12,R20,R21,R22
23,0.191666666666667,72.5165911544333,211.962134319501,104.131909733014,0.9660619033872071,-0.04442900673395096,-0.2544611211649457,-0.05371113762272643,-0.9981164325736155,-0.02964288652934758,-0.25266482248061195,0.042304259680956184,-0.9666285931492442,0.9660619033872071,-0.05371113762272643,-0.25266482248061195,-0.04442900673395096,-0.9981164325736155,0.042304259680956184,-0.2544611211649457,-0.02964288652934758,-0.9666285931492442
24,0.2,72.2570743772756,211.662142575858,100.073346946488,0.9661875392969227,-0.044312317922999576,-0.2540040499433981,-0.05294272321866412,-0.9982259706658941,-0.027239301502157073,-0.25234640271965286,0.03976593980310918,-0.9668195090429373,0.9661875392969227,-0.05294272321866412,-0.25234640271965286,-0.044312317922999576,-0.9982259706658941,0.03976593980310918,-0.2540040499433981,-0.027239301502157073,-0.9668195090429373
25,0.208333333333333,72.1566160364143,211.203972595144,96.2815351281754,0.9663229104555947,-0.045231178686104025,-0.25332621894169266,-0.054683126072378074,-0.9980411356333503,-0.030391566373666166,-0.2514553408690718,0.043220736439332906,-0.9669033971861205,0.9663229104555947,-0.054683126072378074,-0.2514553408690718,-0.045231178686104025,-0.9980411356333503,0.043220736439332906,-0.25332621894169266,-0.030391566373666166,-0.9669033971861205
26,0.216666666666667,72.2101542862738,210.928580256782,92.432625958767,0.9665392125034145,-0.04560553022361337,-0.2524323400563062,-0.055503678367759456,-0.9979382761088903,-0.0322263675344366,-0.25044219369133436,0.04515897131068605,-0.9670777501986243,0.9665392125034145,-0.055503678367759456,-0.25044219369133436,-0.04560553022361337,-0.9979382761088903,0.04515897131068605,-0.2524323400563062,-0.0322263675344366,-0.9670777501986243
27,0.225,72.2946969178355,210.751174196961,88.7116315358035,0.9663587896313888,-0.045033331851630484,-0.25322458159605704,-0.0542682895142747,-0.9980875697615078,-0.029599929742522367,-0.25140732379020325,0.04234621718534396,-0.9669545777515817,0.9663587896313888,-0.0542682895142747,-0.25140732379020325,-0.045033331851630484,-0.9980875697615078,0.04234621718534396,-0.25322458159605704,-0.029599929742522367,-0.9669545777515817
28,0.233333333333333,72.4413332565772,210.716681901339,85.5695368104703,0.9671565472272488,-0.04545637556849072,-0.2500838480902812,-0.0561791729185231,-0.9977749533154107,-0.035903245906474375,-0.24789536842316603,0.04877356309115017,-0.9675582803416735,0.9671565472272488,-0.0561791729185231,-0.24789536842316603,-0.04545637556849072,-0.9977749533154107,0.04877356309115017,-0.2500838480902812,-0.035903245906474375,-0.9675582803416735
29,0.241666666666667,72.7136533438118,210.718498100862,82.2332861767156,0.9672472143864639,-0.0459808283733229,-0.24963691570704996,-0.05609574622691756,-0.9978614597875061,-0.033552560647330136,-0.24756028259167712,0.046457189894036056,-0.9677580462028091,0.9672472143864639,-0.05609574622691756,-0.24756028259167712,-0.0459808283733229,-0.9978614597875061,0.046457189894036056,-0.24963691570704996,-0.033552560647330136,-0.9677580462028091
30,0.25,73.0677405592696,210.760828123809,79.063655614889,0.9671915171444698,-0.04587993214133458,-0.24987116878600713,-0.05619578958960058,-0.997830263279492,-0.03430450285284812,-0.24775512587266496,0.04722073178473899,-0.9676712252069571,0.9671915171444698,-0.05619578958960058,-0.24775512587266496,-0.04587993214133458,-0.997830263279492,0.04722073178473899,-0.24987116878600713,-0.03430450285284812,-0.9676712252069571
31,0.258333333333333,73.5320328781065,211.178466385436,76.4121796737915,0.9684410249352343,-0.04476092271651061,-0.245190621802628,-0.05524801988893908,-0.9978213710950856,-0.03605783804216378,-0.24304246032482507,0.0484661859804347,-0.9688041036740945,0.9684410249352343,-0.05524801988893908,-0.24304246032482507,-0.04476092271651061,-0.9978213710950856,0.0484661859804347,-0.245190621802628,-0.03605783804216378,-0.9688041036740945
32,0.266666666666667,73.9716863734713,211.669993568051,73.7077593913661,0.9685748334174396,-0.042914396125073376,-0.2449921359464418,-0.05220143541210044,-0.998138459285382,-0.031537695482079506,-0.24318265195382632,0.043335559309005796,-0.9690119850074507,0.9685748334174396,-0.05220143541210044,-0.24318265195382632,-0.042914396125073376,-0.998138459285382,0.043335559309005796,-0.2449921359464418,-0.031537695482079506,-0.9690119850074507
33,0.275,74.4798817182583,212.478308227688,71.3796304856587,0.9691736095937931,-0.03973905802117244,-0.24315287729025084,-0.04924108714672987,-0.9982375119012007,-0.033123785561261866,-0.24140801520153815,0.04407581083644629,-0.9694222470603632,0.9691736095937931,-0.04924108714672987,-0.24140801520153815,-0.03973905802117244,-0.9982375119012007,0.04407581083644629,-0.24315287729025084,-0.033123785561261866,-0.9694222470603632
34,0.283333333333333,75.0653772905473,213.183341622248,68.894168606229,0.9699510184434117,-0.038608276545917974,-0.2402174489972422,-0.04693759036094559,-0.9984753864176416,-0.029047638961707267,-0.23872973093374183,0.03945001521286837,-0.9702843974155245,0.9699510184434117,-0.04693759036094559,-0.23872973093374183,-0.038608276545917974,-0.9984753864176416,0.03945001521286837,-0.2402174489972422,-0.029047638961707267,-0.9702843974155245
35,0.291666666666667,75.7690827624585,214.113209049288,66.7255416088208,0.9705699213792025,-0.034139805688148867,-0.23838729282733181,-0.04234526324180298,-0.9986708663714573,-0.029383317407421894,-0.23706730351305516,0.03861313673425576,-0.9707255633167341,0.9705699213792025,-0.04234526324180298,-0.23706730351305516,-0.034139805688148867,-0.9986708663714573,0.03861313673425576,-0.23838729282733181,-0.029383317407421894,-0.9707255633167341
36,0.3,76.2847475182774,215.001961827459,64.806214697149,0.9709748017045593,-0.031177915089700352,-0.23714103834100747,-0.039202074023867856,-0.9988046800107633,-0.029196037073960908,-0.23594730735276243,0.037645036847589214,-0.9710364150502929,0.9709748017045593,-0.039202074023867856,-0.23594730735276243,-0.031177915089700352,-0.9988046800107633,0.037645036847589214,-0.23714103834100747,-0.029196037073960908,-0.9710364150502929
37,0.308333333333333,77.065114439454,216.171832362421,63.0370657423998,0.9724637747968654,-0.028690781524101528,-0.2312813130440236,-0.036010049083946824,-0.9989733539884327,-0.027486621947291588,-0.2302552563413116,0.03505819557019251,-0.9724985551920162,0.9724637747968654,-0.036010049083946824,-0.2302552563413116,-0.028690781524101528,-0.9989733539884327,0.03505819557019251,-0.2312813130440236,-0.027486621947291588,-0.9724985551920162
38,0.316666666666667,77.7919829804065,217.292644096883,61.4954059222841,0.9728480528809805,-0.025112840532909103,-0.2300782719990171,-0.03228280736095454,-0.9991017154190324,-0.027451458898253994,-0.22918221212515713,0.03413367087079423,-0.9727848714686633,0.9728480528809805,-0.03228280736095454,-0.22918221212515713,-0.025112840532909103,-0.9991017154190324,0.03413367087079423,-0.2300782719990171,-0.027451458898253994,-0.9727848714686633
39,0.325,78.4551155578877,218.339198445972,60.1280664686571,0.9733334926060845,-0.02192825430939391,-0.22834417845477042,-0.028626341440891715,-0.9992503651360727,-0.026062239948533156,-0.227601504272162,0.031903909452729765,-0.9732315735808622,0.9733334926060845,-0.028626341440891715,-0.227601504272162,-0.02192825430939391,-0.9992503651360727,0.031903909452729765,-0.22834417845477042,-0.026062239948533156,-0.9732315735808622
40,0.333333333333333,79.2393615496353,219.49447568188,58.8393413115108,0.974450567853896,-0.017780830430372,-0.22389714799082566,-0.02381615875812116,-0.9994213705628768,-0.02428404093697524,-0.22333580409604575,0.02899596750286284,-0.9743101931506956,0.974450567853896,-0.02381615875812116,-0.22333580409604575,-0.017780830430372,-0.9994213705628768,0.02899596750286284,-0.22389714799082566,-0.02428404093697524,-0.9743101931506956
41,0.341666666666667,80.1387792661281,220.649955304111,57.741926830945,0.9751706657663153,-0.015440092481968183,-0.22091576714446973,-0.021058058209972735,-0.999511407234444,-0.02309772700174013,-0.22045119825781553,0.027176282902004547,-0.9750193428000921,0.9751706657663153,-0.021058058209972735,-0.22045119825781553,-0.015440092481968183,-0.999511407234444,0.027176282902004547,-0.22091576714446973,-0.02309772700174013,-0.9750193428000921
42,0.35,80.9243935994842,222.006926626579,56.7649921565607,0.975959443020465,-0.011638488512377546,-0.21764124417106928,-0.015403705753792997,-0.9997594747730599,-0.015611484572131167,-0.21740720187756957,0.018588657472840282,-0.9759039760064118,0.975959443020465,-0.015403705753792997,-0.21740720187756957,-0.011638488512377546,-0.9997594747730599,0.018588657472840282,-0.21764124417106928,-0.015611484572131167,-0.9759039760064118
43,0.358333333333333,81.6970991420794,223.183475596937,56.3399180098035,0.9767074443559941,-0.008145685823932474,-0.21442065185527337,-0.012309740183981028,-0.999760547840606,-0.018091911951319813,-0.21422193733645828,0.020309967599905505,-0.9765738409254598,0.9767074443559941,-0.012309740183981028,-0.21422193733645828,-0.008145685823932474,-0.999760547840606,0.020309967599905505,-0.21442065185527337,-0.018091911951319813,-0.9765738409254598
44,0.366666666666667,82.4031295962664,224.222341739598,55.9286157200766,0.9781107359926704,-0.005993050161168921,-0.20799872952891396,-0.009115597764998729,-0.9998596423214137,-0.014057081286013118,-0.20788529051682167,0.015645414876587427,-0.9780280808750208,0.9781107359926704,-0.009115597764998729,-0.20788529051682167,-0.005993050161168921,-0.9998596423214137,0.015645414876587427,-0.20799872952891396,-0.014057081286013118,-0.9780280808750208
45,0.375,83.4634274866514,225.476692404773,55.2929209480426,0.9785966860572766,-0.002800007593624858,-0.20576852527826428,-0.0068901813156561995,-0.9997926179273919,-0.01916367760451013,-0.20567219413220017,0.020171293844666083,-0.9784130352082798,0.9785966860572766,-0.0068901813156561995,-0.20567219413220017,-0.002800007593624858,-0.9997926179273919,0.020171293844666083,-0.20576852527826428,-0.01916367760451013,-0.9784130352082798
46,0.383333333333333,84.2284736922967,226.483997717048,55.3060452637764,0.9796247829477681,-0.0011221279390799847,-0.20083332757146294,-0.006345928516451841,-0.9996580201183073,-0.025368720984907896,-0.20073617966326424,0.026126301728992544,-0.9792968919240801,0.9796247829477681,-0.006345928516451841,-0.20073617966326424,-0.0011221279390799847,-0.9996580201183073,0.026126301728992544,-0.20083332757146294,-0.025368720984907896,-0.9792968919240801
47,0.391666666666667,84.9377603221851,227.297004690009,55.2836941666251,0.9803941255753583,-0.0004973010224152345,-0.19704596222460793,-0.0054867476244945465,-0.9996779679045881,-0.024776119281648395,-0.19697018591105,0.02537150326343456,-0.9800811357659731,0.9803941255753583,-0.0054867476244945465,-0.19697018591105,-0.0004973010224152345,-0.9996779679045881,0.02537150326343456,-0.19704596222460793,-0.024776119281648395,-0.9800811357659731
48,0.4,85.5251588331421,228.242645843976,55.354444773474,0.9813623852247753,0.001966839985754564,-0.19215618753089964,-0.0026547284339146723,-0.999713436844767,-0.023790683238747227,-0.1921479151145856,0.023857404144094974,-0.981075941497203,0.9813623852247753,-0.0026547284339146723,-0.1921479151145856,0.001966839985754564,-0.999713436844767,0.023857404144094974,-0.19215618753089964,-0.023790683238747227,-0.981075941497203
49,0.408333333333333,86.3349082739101,229.289060363467,55.4476800591671,0.981909051127398,0.0048120615195283815,-0.1892919950183451,-0.0005936145194160858,-0.9995938931961263,-0.028490284428442314,-0.18935221925262785,0.028087234626133602,-0.9815074346713637,0.981909051127398,-0.0005936145194160858,-0.18935221925262785,0.0048120615195283815,-0.9995938931961263,0.028087234626133602,-0.1892919950183451,-0.028490284428442314,-0.9815074346713637
50,0.416666666666667,87.1673033553026,230.189876068415,55.6296695478373,0.9827081035886297,0.007984500925866037,-0.18498927235438234,0.0026942961741788923,-0.9995806660101947,-0.028831110050454786,-0.1851419020896264,0.027834149593268954,-0.9823175332890351,0.9827081035886297,0.0026942961741788923,-0.1851419020896264,0.007984500925866037,-0.9995806660101947,0.027834149593268954,-0.18498927235438234,-0.028831110050454786,-0.9823175332890351
51,0.425,87.8522379314541,231.121408624118,55.6881629743116,0.9834645106023159,0.010101234342726565,-0.180819029558563,0.004223365224540132,-0.9994509601552414,-0.03286246233845338,-0.1810517041398045,0.03155540063950136,-0.9829672106019373,0.9834645106023159,0.004223365224540132,-0.1810517041398045,0.010101234342726565,-0.9994509601552414,0.03155540063950136,-0.180819029558563,-0.03286246233845338,-0.9829672106019373
52,0.433333333333333,88.4059360758289,231.59452229393,56.0311565794159,0.9841475771699151,0.010490486349553118,-0.1770409445488132,0.0048633153334236056,-0.9994699795403548,-0.032188634043255775,-0.17728478365204892,0.030817360265811174,-0.9836769773618236,0.9841475771699151,0.0048633153334236056,-0.17728478365204892,0.010490486349553118,-0.9994699795403548,0.030817360265811174,-0.1770409445488132,-0.032188634043255775,-0.9836769773618236
53,0.441666666666667,89.1756056807956,232.097120911158,56.2143957430723,0.9846689787035836,0.011747854248999183,-0.1740373244433094,0.005988225380844179,-0.9994180112094649,-0.0335824362860423,-0.1743305582381634,0.0320254085167098,-0.9841662611945748,0.9846689787035836,0.005988225380844179,-0.1743305582381634,0.011747854248999183,-0.9994180112094649,0.0320254085167098,-0.1740373244433094,-0.0335824362860423,-0.9841662611945748
54,0.45,89.966319603211,232.6058851158,56.7056169401695,0.9854306838975047,0.013176138186520175,-0.16956637819976586,0.007594326763122183,-0.999409034347971,-0.0335247410828333,-0.16990789691568556,0.03174856604865501,-0.9849483921097303,0.9854306838975047,0.007594326763122183,-0.16990789691568556,0.013176138186520175,-0.999409034347971,0.03174856604865501,-0.16956637819976586,-0.0335247410828333,-0.9849483921097303
55,0.458333333333333,90.9499340170099,233.179614546437,56.3572304540856,0.9855282365768475,0.014747501045911006,-0.1688686060895572,0.008715459444616868,-0.9992990758188713,-0.03640601370953459,-0.16928713972537437,0.034407387004107635,-0.9849659872519209,0.9855282365768475,0.008715459444616868,-0.16928713972537437,0.014747501045911006,-0.9992990758188713,0.034407387004107635,-0.1688686060895572,-0.03640601370953459,-0.9849659872519209
56,0.466666666666667,91.7412839269267,233.530545548065,56.7319102807216,0.9863576934910794,0.015076781824439063,-0.16392434578419518,0.009784360417384933,-0.9994059573058446,-0.03304540501811135,-0.16432518608594615,0.03099069459380625,-0.9859192715767416,0.9863576934910794,0.009784360417384933,-0.16432518608594615,0.015076781824439063,-0.9994059573058446,0.03099069459380625,-0.16392434578419518,-0.03304540501811135,-0.9859192715767416
57,0.475,92.8818462975717,233.762146571486,56.8406787577992,0.9866777321736138,0.016019409049566277,-0.1618963599542539,0.010240348221344254,-0.999282363226302,-0.03646770918446595,-0.1623643683233494,0.034324001493996066,-0.9861337002761845,0.9866777321736138,0.010240348221344254,-0.1623643683233494,0.016019409049566277,-0.999282363226302,0.034324001493996066,-0.1618963599542539,-0.03646770918446595,-0.9861337002761845
58,0.483333333333333,93.6493096117785,233.922864442671,57.5249249725781,0.9874891310422409,0.016437075298176916,-0.1568280543432267,0.010864217466237482,-0.9992809313141848,-0.03632614885591018,-0.15731237984432853,0.03416786308064211,-0.9869576344910739,0.9874891310422409,0.010864217466237482,-0.15731237984432853,0.016437075298176916,-0.9992809313141848,0.03416786308064211,-0.1568280543432267,-0.03632614885591018,-0.9869576344910739
